     [A]        [1e-15erg/cm^2/s/A]
     6203.79    6.37085
     6204.79    6.89092
     6205.79    6.91692
     6206.79    6.49370
     6207.79    6.66609
     6208.78    7.29442
     6209.78    7.18625
     6210.78    6.56992
     6211.78    6.60197
     6212.78    6.67539
     6213.78    6.73942
     6214.78    6.68261
     6215.78    6.52079
     6216.78    6.19113
     6217.78    6.64582
     6218.77    6.32325
     6219.77    6.40053
     6220.77    6.40194
     6221.77    6.73922
     6222.77    6.59344
     6223.77    6.83991
     6224.77    6.49969
     6225.77    6.32024
     6226.77    6.25171
     6227.77    6.58119
     6228.76    6.48000
     6229.76    6.47710
     6230.76    6.54525
     6231.76    6.46257
     6232.76    6.53327
     6233.76    6.57118
     6234.76    6.74515
     6235.76    6.80248
     6236.76    6.45627
     6237.76    6.41160
     6238.75    6.28262
     6239.75    6.65567
     6240.75    6.65668
     6241.75    6.38173
     6242.75    6.25552
     6243.75    6.45939
     6244.75    6.54820
     6245.75    6.21673
     6246.75    6.40331
     6247.75    6.42885
     6248.74    6.28403
     6249.74    6.71272
     6250.74    6.55734
     6251.74    6.52557
     6252.74    6.38981
     6253.74    6.87199
     6254.74    6.72458
     6255.74    6.15701
     6256.74    5.96539
     6257.74    6.40796
     6258.73    6.48783
     6259.73    6.30962
     6260.73    6.60313
     6261.73    6.49658
     6262.73    6.43305
     6263.73    6.42396
     6264.73    6.47436
     6265.73    6.67865
     6266.73    6.26072
     6267.73    6.41779
     6268.72    5.99447
     6269.72    6.09051
     6270.72    6.24389
     6271.72    6.83971
     6272.72    6.59665
     6273.72    6.80163
     6274.72    6.75373
     6275.72    6.35211
     6276.72    6.36497
     6277.72    6.39179
     6278.71    6.06722
     6279.71    6.32192
     6280.71    6.33354
     6281.71    5.98418
     6282.71    5.77182
     6283.71    5.59370
     6284.71    5.78419
     6285.71    5.62792
     6286.71    5.84170
     6287.71    6.20547
     6288.70    6.23087
     6289.70    5.99923
     6290.70    5.63825
     6291.70    5.34443
     6292.70    6.41136
     6293.70    7.28261
     6294.70    7.54210
     6295.70    6.93864
     6296.70    7.00510
     6297.70    7.45292
     6298.69    9.44448
     6299.69    10.9362
     6300.69   10.31451
     6301.69    8.29627
     6302.69    6.97478
     6303.69    6.61266
     6304.69    6.63219
     6305.69    6.94720
     6306.69    6.52857
     6307.69    6.91715
     6308.68    6.82502
     6309.68    6.52255
     6310.68    6.58158
     6311.68    7.38073
     6312.68    6.77252
     6313.68    6.85536
     6314.68    6.20955
     6315.68    6.71711
     6316.68    6.38337
     6317.68    6.27513
     6318.67    6.22369
     6319.67    6.46701
     6320.67    6.40206
     6321.67    6.61700
     6322.67    7.20902
     6323.67    6.28309
     6324.67    6.37469
     6325.67    7.09037
     6326.67    7.13671
     6327.67    7.00524
     6328.66    7.54023
     6329.66    7.07471
     6330.66    6.96919
     6331.66    7.17046
     6332.66    6.78507
     6333.66    7.03577
     6334.66    6.88801
     6335.66    6.91495
     6336.66    6.83510
     6337.66    6.87362
     6338.65    6.73068
     6339.65    6.90318
     6340.65    7.37431
     6341.65    6.90342
     6342.65    6.73537
     6343.65    6.72488
     6344.65    7.12498
     6345.65    7.32773
     6346.65    7.94987
     6347.65    7.04595
     6348.64    7.61887
     6349.64    7.11292
     6350.64    7.42949
     6351.64    7.24670
     6352.64    6.83863
     6353.64    6.58912
     6354.64    6.43363
     6355.64    6.00554
     6356.64    7.71071
     6357.64    8.44196
     6358.63    7.46820
     6359.63    6.99245
     6360.63    7.81543
     6361.63    7.83540
     6362.63    8.01243
     6363.63    8.67933
     6364.63    8.47599
     6365.63    7.63234
     6366.63    7.17444
     6367.63    6.74190
     6368.62    7.29537
     6369.62    7.72765
     6370.62    7.87828
     6371.62    7.56575
     6372.62    7.83197
     6373.62    7.30823
     6374.62    7.49143
     6375.62    7.36210
     6376.62    7.16243
     6377.62    6.95212
     6378.61    7.80305
     6379.61    7.75760
     6380.61    7.89407
     6381.61    7.64224
     6382.61    7.17729
     6383.61    7.85542
     6384.61    7.70623
     6385.61    7.88978
     6386.61    7.74203
     6387.61    7.70503
     6388.60    7.63728
     6389.60    7.25418
     6390.60    7.51442
     6391.60    7.84040
     6392.60    7.87674
     6393.60    7.52691
     6394.60    7.56446
     6395.60    7.98780
     6396.60    7.68627
     6397.60    7.48968
     6398.59    7.66911
     6399.59    8.03965
     6400.59    7.86433
     6401.59    7.83274
     6402.59    7.94022
     6403.59    7.84209
     6404.59    7.90575
     6405.59    7.24957
     6406.59    7.81065
     6407.59    8.12198
     6408.58    7.72414
     6409.58    7.79157
     6410.58    8.13679
     6411.58    7.34980
     6412.58    7.60202
     6413.58    8.24308
     6414.58    8.40825
     6415.58    8.47168
     6416.58    7.78930
     6417.58    7.70529
     6418.57    7.70704
     6419.57    8.16150
     6420.57    7.67728
     6421.57    7.96709
     6422.57    8.18322
     6423.57    7.69967
     6424.57    7.64520
     6425.57    8.44887
     6426.57    8.47871
     6427.57    8.31745
     6428.56    8.40462
     6429.56    7.54438
     6430.56    8.02007
     6431.56    8.49859
     6432.56    8.01802
     6433.56    7.98023
     6434.56    8.30589
     6435.56    8.63484
     6436.56    9.06806
     6437.56    8.28973
     6438.55    8.04768
     6439.55    8.98987
     6440.55    8.32719
     6441.55    8.39087
     6442.55    8.47383
     6443.55    7.88801
     6444.55    7.96320
     6445.55    7.78187
     6446.55    7.97045
     6447.55    7.88235
     6448.54    7.95649
     6449.54    8.35421
     6450.54    7.83622
     6451.54    8.38943
     6452.54    8.59943
     6453.54    7.81622
     6454.54    7.71302
     6455.54    8.19070
     6456.54    8.46956
     6457.54    8.55797
     6458.53    8.25052
     6459.53    8.76663
     6460.53    8.38087
     6461.53    7.49249
     6462.53    7.90902
     6463.53    8.66385
     6464.53    8.01682
     6465.53    7.93158
     6466.53    8.51978
     6467.53    8.86851
     6468.52    9.05353
     6469.52    9.41320
     6470.52    8.75316
     6471.52    8.58517
     6472.52    8.26465
     6473.52    8.65563
     6474.52    8.58912
