     [A]        [1e-15 erg/cm^2/s/A]
     4215.78    1.94533
     4216.78    1.72274
     4217.78    1.87128
     4218.78    1.91116
     4219.78    2.01473
     4220.77    1.94200
     4221.77    1.72018
     4222.77    1.66665
     4223.77    1.81867
     4224.77    1.79319
     4225.77    1.69416
     4226.77    2.03405
     4227.77    2.12339
     4228.77    1.85040
     4229.77    1.95604
     4230.76    1.92982
     4231.76    1.71277
     4232.76    1.80929
     4233.76    1.90954
     4234.76    1.94221
     4235.76    1.87989
     4236.76    1.69766
     4237.76    1.91360
     4238.76    2.09343
     4239.76    2.05198
     4240.75    1.67808
     4241.75    1.84760
     4242.75    1.79582
     4243.75    1.80176
     4244.75    1.75906
     4245.75    1.63115
     4246.75    1.79264
     4247.75    2.03577
     4248.75    1.74870
     4249.75    1.86060
     4250.74    1.79059
     4251.74    1.83263
     4252.74    1.93081
     4253.74    1.95443
     4254.74    1.86170
     4255.74    1.86206
     4256.74    1.99712
     4257.74    1.98353
     4258.74    1.76118
     4259.74    1.72281
     4260.73    1.75866
     4261.73    1.66577
     4262.73    1.95027
     4263.73    1.97126
     4264.73    1.94533
     4265.73    1.79340
     4266.73    1.71630
     4267.73    1.78489
     4268.73    1.71582
     4269.73    1.62244
     4270.72    1.88809
     4271.72    1.77892
     4272.72    1.81878
     4273.72    1.98986
     4274.72    2.05716
     4275.72    1.90349
     4276.72    1.86476
     4277.72    1.93084
     4278.72    1.87512
     4279.72    1.83282
     4280.71    1.90581
     4281.71    1.69939
     4282.71    1.98255
     4283.71    2.08850
     4284.71    1.99590
     4285.71    2.03921
     4286.71    2.00835
     4287.71    2.05657
     4288.71    2.00810
     4289.71    1.76130
     4290.70    1.71107
     4291.70    1.88021
     4292.70    1.98549
     4293.70    1.89820
     4294.70    1.92602
     4295.70    1.93403
     4296.70    1.70159
     4297.70    1.57300
     4298.70    1.75013
     4299.70    1.88889
     4300.69    1.83433
     4301.69    1.83758
     4302.69    1.76746
     4303.69    1.54817
     4304.69    1.65284
     4305.69    1.99796
     4306.69    1.97384
     4307.69    1.87186
     4308.69    1.88319
     4309.69    1.89671
     4310.68    1.93348
     4311.68    1.91708
     4312.68    1.73643
     4313.68    1.85701
     4314.68    1.83072
     4315.68    2.02416
     4316.68    2.13231
     4317.68    1.92509
     4318.68    1.85397
     4319.68    1.83494
     4320.67    1.85808
     4321.67    1.93189
     4322.67    1.84696
     4323.67    1.67098
     4324.67    1.81168
     4325.67    1.92308
     4326.67    1.78021
     4327.67    1.76677
     4328.67    1.93077
     4329.67    2.02682
     4330.66    2.02158
     4331.66    1.97552
     4332.66    1.85481
     4333.66    1.72189
     4334.66    1.78946
     4335.66    2.00300
     4336.66    2.37982
     4337.66    3.19633
     4338.66    4.14653
     4339.66    4.73454
     4340.65    4.76523
     4341.65    4.13623
     4342.65    3.03955
     4343.65    2.10631
     4344.65    1.76975
     4345.65    1.72463
     4346.65    1.73973
     4347.65    1.64840
     4348.65    1.54896
     4349.65    1.64017
     4350.64    1.64687
     4351.64    1.69181
     4352.64    1.92579
     4353.64    2.09948
     4354.64    2.11453
     4355.64    2.23275
     4356.64    2.31129
     4357.64    2.15962
     4358.64    2.10690
     4359.64    2.05050
     4360.63    2.01999
     4361.63    1.99398
     4362.63    1.91311
     4363.63    1.86904
     4364.63    1.96571
     4365.63    1.96251
     4366.63    1.75932
     4367.63    2.01216
     4368.63    2.16664
     4369.63    2.00701
     4370.62    1.89809
     4371.62    1.89298
     4372.62    1.77371
     4373.62    1.88135
     4374.62    2.02459
     4375.62    1.97592
     4376.62    1.95359
     4377.62    1.95819
     4378.62    1.95159
     4379.62    1.91301
     4380.61    1.88015
     4381.61    1.88732
     4382.61    1.86917
     4383.61    1.89741
     4384.61    1.88629
