#  lambda[A]      flux[erg cm^-2 s^-1 A^-1]
 3603.5498     -8.657469e-02
 3605.3248     1.198252e-02
 3607.0997     2.047358e+00
 3608.8746     6.814867e-01
 3610.6495     -2.572081e+00
 3612.4244     -3.578775e+00
 3614.1993     -1.753878e+00
 3615.9743     5.333610e-01
 3617.7492     -1.216206e+00
 3619.5241     2.738446e+00
 3621.2990     -1.627963e+00
 3623.0739     -1.775452e+00
 3624.8488     3.006735e+00
 3626.6238     -1.573398e+00
 3628.3987     -9.396323e-02
 3630.1736     1.043411e+00
 3631.9485     -5.858939e-01
 3633.7234     -1.402387e+00
 3635.4984     -1.220835e+00
 3637.2733     -2.316412e-01
 3639.0482     1.385083e+00
 3640.8231     2.892174e+00
 3642.5980     -3.340215e-01
 3644.3729     1.245865e+00
 3646.1479     7.297569e-01
 3647.9228     -1.826769e+00
 3649.6977     -1.763499e+00
 3651.4726     -6.702881e-01
 3653.2475     2.542999e+00
 3655.0224     3.766182e+00
 3656.7974     3.413578e-01
 3658.5723     8.154466e-01
 3660.3472     -3.913145e-01
 3662.1221     -4.402230e-01
 3663.8970     -6.282915e-01
 3665.6720     -1.227474e+00
 3667.4469     -1.808213e+00
 3669.2218     -1.518248e+00
 3670.9967     -7.191636e-02
 3672.7716     8.195958e-02
 3674.5465     1.005488e+00
 3676.3215     1.652578e+00
 3678.0964     2.805898e+00
 3679.8713     1.589248e+00
 3681.6462     8.850189e-02
 3683.4211     1.045399e+00
 3685.1961     4.551197e-01
 3686.9710     9.726076e-01
 3688.7459     4.896763e-01
 3690.5208     -3.665416e-01
 3692.2957     4.132271e-01
 3694.0706     1.223023e+00
 3695.8456     4.463037e-01
 3697.6205     -8.664312e-01
 3699.3954     -1.873562e-01
 3701.1703     5.866686e-01
 3702.9452     8.618812e-01
 3704.7201     1.285721e+00
 3706.4951     2.189512e+00
 3708.2700     1.075055e+00
 3710.0449     8.804401e-01
 3711.8198     3.013034e-01
 3713.5947     -7.745414e-02
 3715.3697     -9.647821e-02
 3717.1446     4.423572e-01
 3718.9195     8.544517e-01
 3720.6944     1.006864e+00
 3722.4693     3.264923e+00
 3724.2442     9.891463e-01
 3726.0192     -9.303557e-01
 3727.7941     3.095103e-01
 3729.5690     1.450281e+00
 3731.3439     1.849833e+00
 3733.1188     8.509703e-01
 3734.8937     -8.942799e-02
 3736.6687     6.303754e-01
 3738.4436     5.884400e-01
 3740.2185     5.093064e-01
 3741.9934     -1.836646e-03
 3743.7683     1.005583e+00
 3745.5433     4.380778e-01
 3747.3182     -7.669390e-01
 3749.0931     -2.321968e-01
 3750.8680     3.683156e-01
 3752.6429     1.188661e+00
 3754.4178     -3.495229e-01
 3756.1928     -8.900737e-01
 3757.9677     -1.278689e-01
 3759.7426     2.324673e-01
 3761.5175     -1.142144e-01
 3763.2924     1.619122e-01
 3765.0673     6.194769e-01
 3766.8423     4.686953e-01
 3768.6172     1.120324e+00
 3770.3921     1.208781e+00
 3772.1670     6.928630e-01
 3773.9419     1.467081e+00
 3775.7169     8.912702e-01
 3777.4918     7.352666e-01
 3779.2667     3.191385e-02
 3781.0416     -3.184639e-01
 3782.8165     4.007404e-02
 3784.5914     -1.245928e-01
 3786.3664     -8.303411e-01
 3788.1413     -7.384421e-01
 3789.9162     -3.900638e-01
 3791.6911     -5.402628e-01
 3793.4660     1.541196e-01
 3795.2409     8.287467e-01
 3797.0159     8.139203e-01
 3798.7908     9.467169e-01
 3800.5657     -5.868935e-02
 3802.3406     2.008541e-01
 3804.1155     4.580863e-01
 3805.8905     -5.634599e-01
 3807.6654     7.847667e-02
 3809.4403     1.202706e-01
 3811.2152     6.493327e-01
 3812.9901     2.353994e-01
 3814.7650     -2.908387e-01
 3816.5400     -2.024865e-01
 3818.3149     -3.867157e-01
 3820.0898     -1.881468e-01
 3821.8647     7.387132e-01
 3823.6396     4.723309e-01
 3825.4146     3.963048e-01
 3827.1895     3.791580e-01
 3828.9644     3.874485e-01
 3830.7393     2.580463e-01
 3832.5142     2.195814e-02
 3834.2891     1.413532e-01
 3836.0641     1.003204e-01
 3837.8390     3.027857e-02
 3839.6139     3.107800e-01
 3841.3888     6.786509e-01
 3843.1637     2.601933e-01
 3844.9386     -2.984563e-01
 3846.7136     4.162899e-01
 3848.4885     2.192437e-02
 3850.2634     -2.211108e-02
 3852.0383     7.128125e-01
 3853.8132     4.603221e-01
 3855.5882     2.458659e-01
 3857.3631     3.737496e-01
 3859.1380     7.608108e-02
 3860.9129     2.364976e-01
 3862.6878     1.451183e-02
 3864.4627     -2.466789e-01
 3866.2377     -7.195578e-02
 3868.0126     3.819361e-01
 3869.7875     4.793111e-01
 3871.5624     1.138538e-01
 3873.3373     4.618767e-01
 3875.1122     6.842128e-01
 3876.8872     3.257891e-01
 3878.6621     2.845412e-01
 3880.4370     2.722152e-01
 3882.2119     2.119044e-01
 3883.9868     2.263158e-01
 3885.7618     3.841060e-01
 3887.5367     5.152087e-01
 3889.3116     5.052834e-01
 3891.0865     3.944575e-01
 3892.8614     3.734609e-01
 3894.6363     2.707438e-01
 3896.4113     2.288893e-01
 3898.1862     1.212041e-01
 3899.9611     1.523031e-01
 3901.7360     3.612714e-01
 3903.5109     2.742341e-01
 3905.2858     2.306144e-01
 3907.0608     2.507752e-01
 3908.8357     5.366663e-01
 3910.6106     6.373939e-01
 3912.3855     2.691143e-01
 3914.1604     8.455194e-02
 3915.9354     1.107067e-01
 3917.7103     1.849898e-01
 3919.4852     3.227820e-01
 3921.2601     4.283806e-01
 3923.0350     5.339599e-01
 3924.8099     4.233121e-01
 3926.5849     3.774017e-01
 3928.3598     3.446791e-01
 3930.1347     3.197100e-01
 3931.9096     5.443588e-01
 3933.6845     3.737539e-01
 3935.4594     1.632366e-01
 3937.2344     3.798212e-01
 3939.0093     2.961585e-01
 3940.7842     4.356799e-01
 3942.5591     3.748905e-01
 3944.3340     5.080498e-01
 3946.1090     4.422949e-01
 3947.8839     4.301643e-01
 3949.6588     3.598350e-01
 3951.4337     1.710092e-01
 3953.2086     5.844942e-02
 3954.9835     3.534054e-01
 3956.7585     2.398949e-01
 3958.5334     2.707876e-01
 3960.3083     2.488156e-01
 3962.0832     5.466770e-01
 3963.8581     6.155950e-01
 3965.6331     3.817882e-01
 3967.4080     3.092450e-01
 3969.1829     2.654594e-01
 3970.9578     2.849022e-01
 3972.7327     1.776270e-01
