vel[km/s] freq[MHz]   fv[mJy]      polyfit
 -1738.4  1428.690096 -1275.0000   -44.0490
 -1730.2  1428.651034 -1142.0000   -44.1726
 -1722.1  1428.611971  -981.2000   -44.2925
 -1713.9  1428.572909  -853.6000   -44.4090
 -1705.8  1428.533846  -797.8000   -44.5219
 -1697.6  1428.494784  -781.4000   -44.6314
 -1689.5  1428.455721  -692.0000   -44.7374
 -1681.3  1428.416659  -565.1000   -44.8401
 -1673.1  1428.377596  -495.1000   -44.9395
 -1665.0  1428.338534  -460.0000   -45.0356
 -1656.8  1428.299471  -428.5000   -45.1284
 -1648.7  1428.260409  -364.1000   -45.2180
 -1640.5  1428.221346  -269.3000   -45.3044
 -1632.4  1428.182284  -201.5000   -45.3877
 -1624.2  1428.143221  -161.6000   -45.4679
 -1616.1  1428.104159  -113.0000   -45.5451
 -1607.9  1428.065096   -68.5500   -45.6192
 -1599.8  1428.026034   -61.4100   -45.6904
 -1591.6  1427.986971   -47.9500   -45.7586
 -1583.4  1427.947909   -28.1600   -45.8239
 -1575.3  1427.908846   -24.6500   -45.8864
 -1567.1  1427.869784   -23.9600   -45.9460
 -1559.0  1427.830721   -28.0900   -46.0028
 -1550.8  1427.791659   -25.3100   -46.0569
 -1542.6  1427.752596   -21.7000   -46.1083
 -1534.5  1427.713534   -20.9100   -46.1570
 -1526.3  1427.674471    -6.9020   -46.2031
 -1518.2  1427.635409     1.4080   -46.2466
 -1510.0  1427.596346    -9.7920   -46.2875
 -1501.8  1427.557284   -29.9300   -46.3259
 -1493.7  1427.518221   -57.1300   -46.3618
 -1485.5  1427.479159   -72.7300   -46.3952
 -1477.4  1427.440096   -65.5600   -46.4262
 -1469.2  1427.401034   -43.2300   -46.4549
 -1461.0  1427.361971   -36.1500   -46.4812
 -1452.9  1427.322909   -51.6100   -46.5052
 -1444.7  1427.283846   -42.2700   -46.5269
 -1436.5  1427.244784   -31.0000   -46.5463
 -1428.4  1427.205721   -46.7900   -46.5636
 -1420.2  1427.166659   -51.1500   -46.5787
 -1412.0  1427.127596   -50.3400   -46.5916
 -1403.9  1427.088534   -77.8700   -46.6025
 -1395.7  1427.049471  -102.2000   -46.6112
 -1387.5  1427.010409  -100.8000   -46.6180
 -1379.4  1426.971346   -94.8500   -46.6227
 -1371.2  1426.932284   -72.3100   -46.6255
