ra  dec
4.195890 0.704281
195.971841 17.749410
158.541240 61.607720
170.913293 6.750784
328.442624 -7.853018
212.790832 57.259142
238.877073 40.373314
229.135473 12.754199
142.663598 25.816010
224.042646 21.992331
123.563355 14.241794
340.328226 14.745649
133.372574 62.462651
220.054663 19.891802
241.670991 45.084116
174.782152 19.363277
150.148621 46.587378
213.179257 49.803286
228.441988 26.897878
206.189783 29.658106
131.026934 1.896422
173.471008 26.739612
116.610312 22.034021
227.671900 0.444181
147.274857 55.900543
214.025219 61.655335
212.638443 25.523246
216.658286 12.172245
217.040447 58.191121
210.425250 24.917399
177.196343 4.813420
129.752862 40.346118
250.452568 39.990227
218.763032 2.579254
206.317357 23.218970
142.056866 26.403470
216.909308 4.460327
168.664753 39.225227
227.467449 4.407724
140.869600 40.758916
226.228776 5.909159
203.919205 36.001287
12.444735 -8.792449
228.788165 -1.968241
167.235469 44.265888
207.407488 28.972104
183.520864 24.067375
255.020380 39.909983
183.326084 21.634309
255.616348 21.098509
