ra  dec
136.960203 33.468107
237.940770 6.977157
175.201934 46.465850
58.693888 -4.705483
120.493158 16.820655
151.389816 8.606693
130.180605 3.836441
233.680029 25.294433
24.285852 -9.363495
117.920506 50.300217
184.493548 41.292903
244.030129 49.292916
160.289418 44.835270
162.859676 8.298653
356.407014 -0.205613
157.587342 15.192155
186.595399 17.292976
180.539180 20.157329
178.225114 55.066491
237.109618 9.164538
173.794969 13.652573
333.221948 12.455620
216.940788 3.572758
207.952907 46.401867
115.616929 44.864891
248.023848 13.666411
117.529629 40.165294
329.347565 -7.970558
141.237758 22.289455
246.978794 40.606086
189.247410 29.782329
205.839642 39.356266
165.377049 16.458171
139.917078 5.250303
156.104731 25.915251
181.727085 48.731793
181.727085 48.731793
155.346968 27.911866
152.671244 -1.021236
247.414945 24.148896
151.232267 18.378532
229.615878 33.202167
180.564393 45.879071
138.463296 46.421160
255.896260 35.974921
197.014235 34.886095
242.962648 30.034560
7.543554 0.030281
234.063261 27.304532
51.435682 -0.508530
