ra  dec
173.645336 22.627284
234.643737 2.647449
146.462992 0.638684
163.701470 16.631355
346.168982 -9.641941
175.182426 9.169561
162.881719 35.871107
226.998500 10.893817
139.493862 32.646651
128.357775 9.527610
184.250170 13.048441
134.901433 49.952610
241.509098 40.209816
181.812491 65.944603
144.965829 15.995668
162.652653 32.209684
151.419001 13.800610
335.053140 12.384424
164.849762 10.527780
199.917180 38.608596
142.291672 63.340720
152.283364 37.593957
187.651345 57.316365
221.443698 17.570633
222.821346 24.296587
167.486968 7.760302
156.125241 41.015949
161.697327 16.140824
132.094968 31.254192
154.126532 39.077930
210.332785 65.177889
162.937204 21.569831
234.557440 41.697085
162.236348 4.887911
248.074319 47.735165
182.771439 31.043082
236.234967 44.247582
178.256508 17.217594
231.008548 33.781724
153.206684 11.101309
217.771030 2.000278
208.172213 23.029846
216.416774 9.337715
161.735968 16.000466
205.859656 16.299599
111.233960 37.772374
134.833530 15.222584
224.208319 19.154605
191.969072 53.722173
177.506484 3.799952
