ra  dec
203.807986 31.544175
207.968367 34.953993
230.526995 31.950110
255.038193 31.487905
199.022179 67.541648
150.083114 12.605941
237.444225 9.509941
166.612567 3.003152
219.749156 16.884170
184.251728 -0.749183
25.064343 0.831504
239.303538 54.581844
137.379032 23.678875
141.203862 22.604538
166.612567 3.003152
212.549979 43.191255
230.593671 27.557285
141.429852 29.942554
168.213191 -1.139880
142.430680 -0.304517
229.037900 17.866748
198.488911 42.762606
341.147486 1.098975
130.013919 31.780362
173.104421 56.153725
210.579903 51.278254
236.794083 18.258679
238.421873 24.866496
228.773163 -1.226142
322.743882 -8.058100
57.514623 -4.865186
193.753971 18.980757
170.587987 1.122724
246.756355 14.015461
238.021550 22.480803
240.040745 51.602672
203.552991 36.515835
173.682830 -2.268449
168.264438 2.576479
210.516689 48.812096
122.716404 48.769533
203.511550 -1.021924
173.479646 19.359996
129.107882 38.675618
125.728895 37.117511
143.452416 35.474883
187.497526 31.425652
212.928683 54.706889
168.965593 3.313002
119.460578 29.754584
